MakeModel,Crew,Seats,CruiseSpeedKnots,GPH,Price,EnginePrice,ModelId,MaxCargo
Cessna 172 Skyhawk,0,4,100,7,72600,22000,1,355
Cessna 182 Skylane,0,4,125,14,97800,22000,6,512
Cessna 208 Caravan,0,14,182,55,657300,114000,22,1833
Beechcraft Baron 58,0,6,192,28,258600,44000,7,705
Beechcraft King Air 350,0,15,258,88,892500,114400,33,2604
Cessna Citation CJ4 (MSFS),0,11,400,165,1062315,183000,372,500
DeHavilland DHC-6 Twin Otter,1,21,170,110,783000,114400,45,2250
Beechcraft 1900D,1,21,230,120,1140000,143000,8,2831
ATR 72-500,6,70,250,200,4770000,143000,154,8511
Bombardier CRJ700-ER,6,74,455,500,9285000,160000,249,13862
Bombardier Dash-8 Q400,7,78,380,250,8526906,143000,211,11455
Airbus A320 (MSFS),0,150,450,800,0,210000,361,36994
